id,poor_prompt
1,need ppt for Cloud Computing
2,make ppt on IoT less text more visuals
3,presentation on Social Media with statistics
4,Renewable Energy presentation focus on disadvantages
5,ppt on Global warming for college presentation
6,make slides for Cybersecurity
7,make ppt on IoT
8,Mental Health
9,make ppt on Machine Learning
10,make slides for Digital Marketing less text more visuals
11,E-commerce presentation
12,slides about E-commerce
13,Tourism in Nepal presentation focus on recent trends
14,prepare presentation on Digital Marketing short and simple
15,IoT
16,ppt on Python Programming for beginners
17,prepare presentation on Renewable Energy for college presentation
18,prepare presentation on Cybersecurity keep it simple
19,need ppt for Renewable Energy with more images
20,create ppt on Social Media
21,can you make ppt on Digital Marketing less text more visuals
22,E-commerce presentation
23,need ppt for Artificial Intelligence
24,ppt on Python Programming for beginners
25,create powerpoint about E-commerce focus on Nepal context
26,create powerpoint about Blockchain focus on applications
27,create ppt on Data Science for college presentation
28,Global warming
29,slides about Climate Change less text more visuals
30,Python Programming
31,Robotics mainly for students
32,create ppt on Python Programming short and simple
33,make slides for Python Programming
34,create powerpoint about Data Science mainly for students
35,ppt on Climate Change
36,prepare presentation on Renewable Energy with more images
37,need ppt for Data Science focus on applications
38,make slides for Mental Health
39,create powerpoint about Blockchain focus on recent trends
40,can you make ppt on Robotics
41,Space Exploration but focus on future
42,ppt on Artificial Intelligence keep it simple
43,ppt on Mental Health focus on disadvantages
44,need ppt for Cloud Computing focus on disadvantages
45,slides about Django Framework but focus on future
46,presentation on Data Science
47,slides about Tourism in Nepal focus on disadvantages
48,make slides for Climate Change
49,Mental Health presentation
50,make ppt on Django Framework focus more on advantages
51,create ppt on Tourism in Nepal short and simple
52,Global warming presentation focus on disadvantages
53,make ppt on Food Delivery Apps for beginners
54,prepare presentation on Cloud Computing with statistics
55,prepare presentation on Climate Change with statistics
56,IoT focus on Nepal context
57,Blockchain
58,create ppt on Digital Marketing focus on recent trends
59,Django Framework
60,need ppt for Social Media focus on applications
61,need ppt for Machine Learning
62,make ppt on Cybersecurity
63,Food Delivery Apps presentation focus on disadvantages
64,can you make ppt on Tourism in Nepal focus on disadvantages
65,need ppt for Digital Marketing focus on applications
